Date,Tweet ID,Content,Source,Location,Likes,Retweet
2025-05-27 04:29:46+00:00,1.92722066316247E+018,"RT @ECOWARRIORSS: Decommissioned, retired, paused: The weather, climate, and Earth science data the government doesn’t want you to see

htt…",,Antarctica,0,20
2025-05-27 04:29:45+00:00,1.9272206582635E+018,"RT @VirtualBacon0x: Why the Hyperliquid rally makes me worried about the rest of the Altcoin market.

00:00 Why Crypto traders are feeling…",,,0,29
2025-05-27 04:29:41+00:00,1.92722064199378E+018,"RT @Ronald_vanLoon: Norwegian #Robotics company 1X has introduced its latest humanoid prototype, Neo Gamma
by @1x_tech
  
#Automation #AI #…",,Brasil,0,26
2025-05-27 04:29:38+00:00,1.92722062663006E+018,RT @nordicinst: New York Times @nytimes: The growing environmental impact of AI data centers' energy demands - PBS. #industry40 #MachineLea…,,"Fresno, California",0,2
2025-05-27 04:29:12+00:00,1.92722051762005E+018,"RT @Ronald_vanLoon: #AI Bias can Ruin your PR Voice
by @Ronald_vanLoon |

Use AI to power your PR. Follow for tips &amp; free tools https://t.c…",,,0,3
2025-05-27 04:28:44+00:00,1.92722040129525E+018,"RT @astronomer_zero: $BTC, data analysis

Why we still won't pull back hard until after the 8th of June

Again, using the FOMC meetings tim…",,Bulgaria,0,2
2025-05-27 04:27:45+00:00,1.92722015256459E+018,"RT @imf_education: ¿Tomas decisiones con datos o con intuición?
Con el Máster en Data Science, aprende a transformar datos en decisiones in…",,,0,1
2025-05-27 04:27:44+00:00,1.92722015140282E+018,"RT @Crypto_Colombus: 🚀🌪️The storm of #AI is coming, and @PaalMind will be perfectly positioned to catch the full wind! 🌬️💥

Here's the alph…",,,0,3
2025-05-27 04:27:27+00:00,1.92722007749496E+018,"RT @astronomer_zero: $BTC, data analysis

Why we still won't pull back hard until after the 8th of June

Again, using the FOMC meetings tim…",,,0,2
2025-05-27 04:27:05+00:00,1.9272199848218E+018,"RT @JOBCORNER247: Free Computer Science Certifications to try in 2025: 

🔸GIT
https://t.co/quMliINyql

🔸Python
https://t.co/xi4b4VgjWa

🔸SQ…",,"Kota Yogyakarta, Yogyakarta",0,73
2025-05-27 04:26:38+00:00,1.92721987165114E+018,"RT @angie_rasmussen: I gratefully acknowledge the scientists at the Chinese CDC, who generated these data, made them available, and publish…",,My Heart's In Boston,0,9
2025-05-27 04:26:27+00:00,1.9272198292258E+018,"RT @milesdeutscher: Is it too late to buy $HYPE? 

I just did a full deep-dive, and I found data suggesting that a $100+ HYPE may be coming…",,,0,25
2025-05-27 04:26:18+00:00,1.92721978857461E+018,"RT @bigdatauned: ¿Cuánto gana un profesional en #DataScience en Europa en 2025? https://t.co/nqxPriyCj9
🎓 El Máster en Big Data y Data Scie…",,,0,2
2025-05-27 04:26:01+00:00,1.92721971790891E+018,RT @RajeevRC_X: Arrived in #Singapore for a short visit at the invitation of Govt of Singapore to attend 5th edition of AsiaTechSummit #ATX…,,kerala,0,17
2025-05-27 04:25:49+00:00,1.92721966706142E+018,"RT @JOBCORNER247: Free Certification Courses to Learn Data Analytics in 2025:

1. Python
🔗 https://t.co/b2Pg9lFcse

2. SQL
🔗 https://t.co/W…",,"Guayaquil, Ecuador",0,252
2025-05-27 04:25:22+00:00,1.9272195553712E+018,RT @RajeevRC_X: Arrived in #Singapore for a short visit at the invitation of Govt of Singapore to attend 5th edition of AsiaTechSummit #ATX…,,,0,17
2025-05-27 04:25:12+00:00,1.92721951344914E+018,"RT @developer_quant: データサイエンスに出てくる距離・類似度のまとめ記事
https://t.co/10D09JzIwj

・ユークリッド距離
・マンハッタン距離
・キャンベラ距離
・チェビシェフ距離
・ミンコフスキー距離
・コサイン類似度
・ピアソン相関…",,bluesky,0,53
2025-05-27 04:25:03+00:00,1.92721947376264E+018,"RT @sakshi00112: I'm deleting this soon because it's a legit cash-printing formula.

𝗣𝗮𝗶𝗱 𝗖𝗼𝘂𝗿𝘀𝗲 𝗙𝗥𝗘𝗘 (PART - 1)

1. Artificial Intelligenc…",,India,0,11
2025-05-27 04:24:35+00:00,1.9272193595685E+018,RT @RajeevRC_X: Arrived in #Singapore for a short visit at the invitation of Govt of Singapore to attend 5th edition of AsiaTechSummit #ATX…,,,0,17
2025-05-27 04:24:32+00:00,1.92721934691855E+018,"RT @sadhna6389: 𝗣𝗮𝗶𝗱 𝗖𝗼𝘂𝗿𝘀𝗲 𝗙𝗥𝗘𝗘  🗃️ -------&gt; ( Part - 2 )

1. Artificial Intelligence + Data Analyst
2. Machine Learning + Data Science

(…",,,0,10
2025-05-27 04:24:25+00:00,1.92721931759615E+018,"RT @jamescoder12: 𝐀𝐥𝐥 𝐏𝐚𝐢𝐝 𝐂𝐨𝐮𝐫𝐬𝐞𝐬 (𝐅𝐫𝐞𝐞 𝐟𝐨𝐫 𝐅𝐢𝐫𝐬𝐭 𝟓𝟎𝟎𝟎 𝐏𝐞𝐨𝐩𝐥𝐞)👇

1. Artificial Intelligence
2. Machine Learning
3. Ethical Hacking
4. Data…",,"Dhaka, Bangladesh",0,9
2025-05-27 04:24:05+00:00,1.9272192308244E+018,RT @RajeevRC_X: Arrived in #Singapore for a short visit at the invitation of Govt of Singapore to attend 5th edition of AsiaTechSummit #ATX…,,,0,17
2025-05-27 04:23:33+00:00,1.92721909943777E+018,"RT @TonyClimate: This claim is total BS.  On May 27, 1953 the minimum temperature at Tarpon Springs was 81F, and on May 26, 1946 the minimu…",,,0,89
2025-05-27 04:21:41+00:00,1.92721862775894E+018,"RT @RedLineNewsUSA: DOGE Canceled: $3,262,415 for ""data analysis management and administrative support services contract with Strativia, LL…",,,0,73
2025-05-27 04:21:28+00:00,1.9272185752756E+018,"RT @Sumanth_077: Microsoft released an AI powered data analysis tool!

Data Formulator is an AI-powered tool for analysts to iteratively cr…",,"Rocket Reserve Pudgy (RSR),",0,296
2025-05-27 04:21:23+00:00,1.92721855333945E+018,"RT @eugeneyan: A love letter to @claude_code: Over the past two days, I built a stock analysis web app for loved ones that includes auth, c…",,Istanbul,0,1
2025-05-27 04:21:14+00:00,1.92721851627014E+018,"RT @TonyClimate: This claim is total BS.  On May 27, 1953 the minimum temperature at Tarpon Springs was 81F, and on May 26, 1946 the minimu…",,"Kincora, Calgary",0,89
2025-05-27 04:20:46+00:00,1.92721839756295E+018,"RT @james_bonds0: 𝐀𝐥𝐥 𝐏𝐚𝐢𝐝 𝐂𝐨𝐮𝐫𝐬𝐞𝐬 (𝐅𝐫𝐞𝐞 𝐟𝐨𝐫 𝐅𝐢𝐫𝐬𝐭 𝟓𝟎𝟎𝟎 𝐏𝐞𝐨𝐩𝐥𝐞)👇

1. Artificial Intelligence
2. Machine Learning
3. Ethical Hacking
4. Data…",,"Orlando, FL",0,51
2025-05-27 04:20:26+00:00,1.92721831448635E+018,"RT @HitmarkerJobs: 🚨 ICYMI: An early-career data science gig available in multiple locations! 📊

💼 Data Scientist
🏢 Twitch
🇺🇸 San Francisco…",,,0,0
2025-05-27 04:20:15+00:00,1.92721826648682E+018,RT @Bayat58Mahdi: BlueprintAIx is an innovative AI platform that aims to develop advanced models for data analysis and improved decision-ma…,,,0,1
2025-05-27 04:20:05+00:00,1.92721822591947E+018,"RT @JOBCORNER247: Free Computer Science Certifications to try in 2025: 

🔸GIT
https://t.co/quMliINyql

🔸Python
https://t.co/xi4b4VgjWa

🔸SQ…",,,0,73
2025-05-27 04:19:26+00:00,1.92721806331475E+018,"RT @AlphaNewsMN: ANALYSIS: Crime rates of illegal migrants underreported

Democrats frequently claim that illegal immigrants are less prone…",,,0,126
2025-05-27 04:18:39+00:00,1.92721786311637E+018,"RT @Sumanth_077: Microsoft released an AI powered data analysis tool!

Data Formulator is an AI-powered tool for analysts to iteratively cr…",,Turkey,0,296
2025-05-27 04:17:53+00:00,1.92721767221682E+018,"RT @CMOMaharashtra: गतिशील विकासासाठी नवोपक्रम

@Dev_Fadnavis 
#Maharashtra #DevendraFadnavis #ArtificialIntelligence https://t.co/qmAo2Cvu…",,,0,8
2025-05-27 04:16:17+00:00,1.92721726824242E+018,"RT @developer_quant: データサイエンスに出てくる距離・類似度のまとめ記事
https://t.co/10D09JzIwj

・ユークリッド距離
・マンハッタン距離
・キャンベラ距離
・チェビシェフ距離
・ミンコフスキー距離
・コサイン類似度
・ピアソン相関…",,,0,53
2025-05-27 04:16:11+00:00,1.92721724381061E+018,"RT @VirtualBacon0x: Why the Hyperliquid rally makes me worried about the rest of the Altcoin market.

00:00 Why Crypto traders are feeling…",,"Mount Maunganui, New Zealand",0,29
2025-05-27 04:15:47+00:00,1.92721714261043E+018,"RT @BoucherNicolas: During the last couple of weeks, many CFOs told me they want to use more AI but don’t know how.

This is why I've prepa…",,India,0,39
2025-05-27 04:14:41+00:00,1.92721686780386E+018,"RT @Crypto_Colombus: $PAAL has a very long and healthy runway, and is constantly earning in both #Web2 and #Web3 in order to fuel developme…",,,0,49
2025-05-27 04:13:19+00:00,1.92721652366962E+018,"RT @sadhna6389: 𝗣𝗮𝗶𝗱 𝗖𝗼𝘂𝗿𝘀𝗲 𝗙𝗥𝗘𝗘  🗃️ -------&gt; ( Part - 2 )

1. Artificial Intelligence + Data Analyst
2. Machine Learning + Data Science

(…",,India,0,10
2025-05-27 04:13:06+00:00,1.92721646920659E+018,"RT @kspub_kodansha: 【📔7月近刊情報📢】

菅由紀子『Pythonではじめる　データ分析のための前処理入門』(実践Data Scienceシリーズ)
https://t.co/LRzSBpQPzY
https://t.co/yo6VXFIQrS

【バーチャ…",,"いつかは賢いレジデント生活(⑤②⓪❎❾), 9️⃣パズル🧩",0,3
2025-05-27 04:13:00+00:00,1.92721644422534E+018,"RT @Gharsanayyy: 85.65 GB Paid Courses Collection

FREE for 1000 people!👇

💻 Data Science
🐍 Python
🤖 AI
☕ Java
📊 Big Data
📈 Analytics
☁️ Go…",,,0,21
2025-05-27 04:12:42+00:00,1.92721636764148E+018,RT @DiZee4: @data_republican I haven’t followed (if he’s on X) because I learned long ago he was just an act: Bill Nye “the science guy”. N…,,,0,9
2025-05-27 04:12:37+00:00,1.92721634714397E+018,"RT @Sumanth_077: Microsoft released an AI powered data analysis tool!

Data Formulator is an AI-powered tool for analysts to iteratively cr…",,"Ulaanbaatar, Mongolia",0,296
2025-05-27 04:12:32+00:00,1.92721632437305E+018,"RT @USGIF: We were honored to host Director of National Intelligence @TulsiGabbard as a keynote speaker at the 2025 GEOINT Symposium! 

📸 P…",,,0,59
2025-05-27 04:11:13+00:00,1.92721599444906E+018,"RT @jamescoder12: 𝐀𝐥𝐥 𝐏𝐚𝐢𝐝 𝐂𝐨𝐮𝐫𝐬𝐞𝐬 (𝐅𝐫𝐞𝐞 𝐟𝐨𝐫 𝐅𝐢𝐫𝐬𝐭 𝟓𝟎𝟎𝟎 𝐏𝐞𝐨𝐩𝐥𝐞)👇

1. Artificial Intelligence
2. Machine Learning
3. Ethical Hacking
4. Data…",,Mars,0,9
2025-05-27 04:11:13+00:00,1.92721599278812E+018,"RT @CrypNuevo: $BTC Monday update:

Following my previous analysis, we're seeing the consolidation/retest of the previous resistance - now…",,,0,59
2025-05-27 04:10:24+00:00,1.927215788815E+018,RT @DS_Nana_: Exploratory Data Analysis: Lost Property Items on the Transport of London https://t.co/O8HIWprzWo,,"Bengaluru/Salem,ElectronicCity",0,2
2025-05-27 04:10:00+00:00,1.92721568703599E+018,"RT @DisinfoLab: Narrative building is strongest on social media. 

The data analysis of BDS with Kashmir aligns with events organized again…",,Dewas BHARAT INDIA ,0,71
